[2025-01-24 10:32:12,640] 21 root -INFO -Initiate the data ingestion
[2025-01-24 10:32:16,393] 87 root -INFO -Performed train test split on the dataframe
[2025-01-24 10:32:16,393] 89 root -INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-01-24 10:32:16,393] 100 root -INFO -Exporting train and test file path.
[2025-01-24 10:32:16,450] 111 root -INFO -Exported train and test file path.
[2025-01-24 10:32:16,451] 26 root -INFO -Data Initiation Completed
[2025-01-24 10:32:16,456] 32 root -INFO -Initiate the data validation
[2025-01-24 10:32:16,515] 45 root -INFO -Required number of columns:2
[2025-01-24 10:32:16,515] 46 root -INFO -Dataframe has columns:31
[2025-01-24 10:32:16,515] 45 root -INFO -Required number of columns:2
[2025-01-24 10:32:16,516] 46 root -INFO -Dataframe has columns:31
[2025-01-24 10:32:16,662] 34 root -INFO -Data validation completed
